date,CPI(2001-01=100),Core_CPI,M2_Growth,DR007,PPI,Oil_Price,PMI_Output_Price,EPUCHINA,Exchange_Rate,Fiscal_Exp_Growth
2017-05-01,99.00891972249752,102.72114285714285,1609740.77,,99.7,50.43333333333333,54.1,451.978497,0.14529181861769364,76467.4
2017-06-01,98.90981169474726,102.84,1639497.05,,99.8,46.52380952380953,54.7,328.5536,0.14701774504182652,103483.3
2017-07-01,99.207135777998,102.5814285714286,1636341.11,,100.2,48.56666666666667,54.1,162.693286,0.14781092027078963,116979.4
2017-08-01,99.50445986124876,102.83542857142857,1652947.3,,100.9,51.68571428571429,53.7,265.258103,0.14984416207144569,131626.7
2017-09-01,99.603567888999,102.95685714285713,1663666.05,,101.0,56.05238095238096,55.1,314.001226,0.15236005728738156,151873.1
2017-10-01,99.207135777998,103.10571428571434,1662449.96,,100.7,57.118181818181824,53.9,291.583586,0.15116243915711824,162994.9
2017-11-01,99.10802775024776,102.77285714285719,1679156.64,,100.5,62.613636363636374,54.6,268.043857,0.15108935424409997,179560.4
2017-12-01,99.4053518334985,102.67028571428573,1690235.31,,100.8,64.18421052631578,54.6,269.354753,0.15164841830699707,203330.0
2018-01-01,99.70267591674926,102.3357142857143,1720814.46,,100.3,69.17727272727272,54.6,122.937408,0.15536635386240755,
2018-02-01,100.29732408325074,103.27000000000002,1729070.12,,99.9,65.19,52.9,211.780175,0.1583230423355815,29061.8
2018-03-01,98.01783944499505,102.79571428571428,1739859.48,,99.8,65.99,54.0,245.551721,0.15817779183802594,50997.0
2018-04-01,98.90981169474726,102.40542857142856,1737683.73,,99.8,71.80499999999999,54.1,291.30698,0.15879317189360856,65692.6
2018-05-01,98.90981169474726,102.48400000000001,1743063.79,,100.4,77.049,54.6,374.103824,0.15684306283133098,82695.2
2018-06-01,99.00891972249752,102.39685714285717,1770178.37,,100.3,74.47809523809524,54.4,465.416837,0.15490426916165811,111592.1
2018-07-01,99.4053518334985,102.5102857142857,1776196.11,,100.1,74.3309090909091,53.6,561.026139,0.14917802905988006,125536.5
2018-08-01,99.8017839444995,102.36457142857141,1788670.43,,100.4,72.55850000000001,53.8,502.75373,0.1461283298993176,140673.5
2018-09-01,99.8017839444995,101.89885714285715,1801665.58,,100.6,78.7765,54.1,516.486622,0.14610271020527432,163289.5
2018-10-01,99.30624380574827,101.89742857142859,1795561.6,,100.4,80.41050000000001,53.1,621.426399,0.14437514437514437,175320.3
2018-11-01,98.81070366699703,102.04285714285714,1813175.07,,99.8,64.33666666666667,52.8,677.537564,0.14419402748338164,191750.9
2018-12-01,99.10802775024776,102.25800000000005,1826744.22,,99.0,57.42000000000001,52.6,935.31032,0.14523695409059884,220906.0
2019-01-01,99.603567888999,102.31485714285718,1865935.33,,99.4,59.61909090909091,53.2,654.962671,0.14728191230834944,
2019-02-01,100.09910802775023,102.32400000000001,1867427.45,,99.9,64.38666666666667,52.4,720.15793,0.14844724185024644,33314.0
2019-03-01,98.71159563924677,102.228,1889412.14,,100.1,66.26952380952379,54.0,753.107748,0.14904684542351662,58629.0
2019-04-01,99.207135777998,102.06542857142858,1884670.33,,100.3,71.347,53.4,502.550049,0.14891810993134874,75667.0
2019-05-01,99.10802775024776,101.97628571428575,1891153.7,,100.2,71.175,53.3,759.068726,0.1459342712042496,93023.0
2019-06-01,99.00891972249752,102.22142857142859,1921360.19,,99.7,64.38684210526317,53.0,959.852286,0.14530659691950015,123538.0
2019-07-01,99.50445986124876,102.13428571428572,1919410.82,,99.8,64.17347826086957,53.1,721.646693,0.1454503141726786,137963.0
2019-08-01,99.8017839444995,102.01400000000004,1935492.43,,99.9,59.1105,53.0,904.938393,0.14242173925427978,153069.0
2019-09-01,100.0,102.06285714285713,1952250.49,,100.1,62.915238095238095,53.1,933.883789,0.14127286854559584,178612.0
2019-10-01,100.0,102.14514285714286,1945600.55,,100.1,59.71809523809524,52.0,970.829891,0.14143871460496169,190587.0
